Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Targeting,Targeting match type,Target ID,Target bid,Target type,Target status,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
USD,"Sep 18, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine preservation system,PHRASE,220511760933787,0.65,,ENABLED,1,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine vacuum pump,PHRASE,222701901551294,0.85,,ENABLED,9,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 18, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,,,,,,,24,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine pump,EXACT,74960655071822,0.95,,ENABLED,4,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine preserver vacuum pump,EXACT,149320670853406,0.95,,ENABLED,0,0,,0.00,0,0.00,0,,,,0,0.00,0,,,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine saver vacuum pump,EXACT,29392537074054,1.4,,ENABLED,2,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine bottle stopper,EXACT,118088265747971,0.8,,ENABLED,51,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,vacuum wine stopper,EXACT,205599029917473,0.8,,ENABLED,20,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine saver,PHRASE,175264218149479,0.65,,ENABLED,18,1,5.5556%,0.65,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
USD,"Sep 17, 2026 - Sep 18, 2026","=""amzn1.ads-account.g.8kn152muz79i74wb6z74d9oh5""",velio collection,-1,No Portfolio,"=""126573957133472""",VELIO | SP | MANUAL | CORE,"=""404177307017804""",VELIO CORE KEYWORDS,wine saver vacuum pump,PHRASE,112831450147130,0.95,,ENABLED,1,0,0.0000%,0.00,0,0.00,0,,0.0000%,,0,0.00,0,,0.0000%,,0,0.00,0,,,,,,,,,
