Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Targeting,Targeting match type,Target ID,Target bid,Target type,Target status,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine saver,EXACT,45417663392,0.75,,ENABLED,900,62,,32.00,8,160.00,8,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine preserver pump,PHRASE,514264272809,0.65,,ENABLED,1400,70,,45.00,6,180.00,7,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,vacuum wine stopper,EXACT,807734589891,0.60,,ENABLED,700,40,,28.00,4,93.33,4,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine bottle sealer,PHRASE,76680442623,0.80,,ENABLED,1100,75,,60.00,5,150.00,5,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,reusable wine stopper,PHRASE,80057503694,0.70,,ENABLED,500,20,,15.00,3,75.00,3,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine pump,EXACT,554594883133,0.90,,ENABLED,600,45,,64.00,2,80.00,2,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine stopper set,PHRASE,132575809352,0.85,,ENABLED,650,47,,70.00,3,93.33,3,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine vacuum sealer,EXACT,730293551162,1.00,,ENABLED,550,50,,90.00,2,90.00,2,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine saver pump kit,PHRASE,323114415260,1.10,,ENABLED,480,55,,120.00,1,80.00,1,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,vacu vin style saver,EXACT,115154731461,0.95,,ENABLED,300,30,,55.00,1,27.50,1,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine preservation gift set,PHRASE,256545722748,0.75,,ENABLED,250,12,,18.00,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,luxury wine stopper,EXACT,756824677430,0.65,,ENABLED,180,6,,9.50,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine gift accessories,PHRASE,759698594911,0.40,,ENABLED,320,4,,3.20,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine accessories set,EXACT,47804589946,0.40,,ENABLED,900,3,,2.40,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,wine preservation system,EXACT,275948633635,0.65,,ENABLED,45,0,,0.00,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
USD,"Sep 1, 2026 - Sep 19, 2026","=""amzn1.ads-account.g.demo1234567890""",demo store,-1,No Portfolio,"=""999900011122""",DEMO | SP | MANUAL | CORE,"=""999900033344""",DEMO CORE KEYWORDS,best wine saver 2026,PHRASE,420016069520,0.55,,ENABLED,120,0,,0.00,0,0.00,0,,,,,,,,,,,,,,,,,,,,,
