"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Title Density","Amazon Recommended","Sponsored","Organic","Sponsored Rank (avg)","Sponsored Rank (count)","Amazon Recommended Rank (avg)","Amazon Recommended Rank (count)","Position (Rank)","Relative Rank","Competitor Rank (avg)","Ranking Competitors (count)","Competitor Performance Score","B07ZTXD1R6","B004O0TJFY","B09K7Q6S7V","B0D9VC26D5","B00005U2FA","B08YY8PGVJ"
"vin saver",,,"-",315,315,26,,,,65,1000,8,0,0,1,1,22,7,0,0,6,4,6,5,10,3,3,"-",2,11,11
"rabbit wine preserver",,,"-",796,351,79,1.04,0.63,1.26,11,441,8,0,1,1,1,3,2,151,4,2,1,13.8,5,10,4,4,"-",9,26,26
"vacu vin wine saver pump",81.1,61.9,21,2530,544,-5,0.93,0.62,1.24,15,215,9,2,1,1,1,2,4,100,5,11,5,14.2,6,10,9,9,45,12,5,5
"vacuvin wine pump vacuum stoppers",,,"-",8568,377,11,,,,9,44,8,0,1,1,1,5,4,200,5,9,3,14.6,5,10,24,24,"-",11,7,7
"vacuvin wine saver",57.8,45.5,33,4633,644,6,0.96,0.73,1.11,29,139,10,2,1,1,1,3,4,171,6,4,3,14.7,6,10,1,1,49,25,6,6
"vacu vin",57.9,40,50,9175,1156,-29,0.94,0.63,1.45,112,126,27,3,1,1,1,7,6,89,7,7,1,15.6,5,10,10,10,"-",22,18,18
"vacuvin",51.9,37.9,29,10486,734,-19,1.09,0.71,1.38,39,70,11,2,1,1,1,5,7,218,5,8,3,16,6,10,7,7,51,9,11,11
"vacu vin layering tool for shots",,,"-",28111,253,-1,0.71,0.56,0.87,12,9,8,0,0,0,1,0,0,0,0,0,0,4.5,4,8,6,6,"-","-",3,3
"vampire wine stopper",,,"-",769,247,"-",0.98,0.79,1.22,19,321,8,0,0,0,1,0,0,0,0,50,5,13.5,4,8,12,12,"-","-",15,15
"wine bottle sealer vacuum",,,"-",4,295,-18,,,,65,80000,8,0,1,1,1,11,7,56,2,22,6,16.8,6,8,2,2,57,8,16,16
"red wine vacuum pump",,,"-",2206,386,108,,,,46,175,8,0,1,1,1,16,7,171,1,35,6,18.5,6,8,18,18,38,5,16,16
"wine bottle vacuum sealer",59.3,41.7,12,459,459,24,1.09,0.68,1.47,87,1000,8,0,1,1,1,13,7,68,7,14,4,18.5,6,8,2,2,55,12,20,20
"wine vacuum sealer",42.9,57.1,14,235,469,13,1.12,0.84,1.42,93,2000,8,0,1,1,1,27,7,70,7,27,6,18.7,6,8,2,2,71,11,13,13
